latitude,longitude,length_of_encounter_seconds
40.155,-74.8291667,60
33.4483333,-112.0733333,30
41.6572222,-87.68,45
43.4194444,-83.9508333,4
43.25,-79.833333,3600
41.7297222,-93.6055556,120
26.8230556,-80.1388889,15
43.866667,-79.033333,300
42.2916667,-85.5872222,600
38.9716667,-95.235,240
39.103118,-84.51202,600
44.4905556,-73.1113889,60
39.1619444,-84.4569444,300
39.1619444,-84.4569444,240
26.1416667,-81.795,7200
32.543889,-83.596111,300
39.1619444,-84.4569444,60
38.9458333,-84.6805556,300
42.4736111,-72.0066667,60
33.5966667,-83.8602778,300
39.7463889,-84.2866667,180
43.0297222,-76.0047222,90
26.9338889,-80.0944444,900
28.0833333,-80.6083333,300
45.3561111,-92.6333333,60
41.88,-88.0077778,60
45.583333,-72,300
40.8758333,-81.4025,10
42.4566667,-83.9463889,2
37.4791667,-82.5188889,600
33.590355,130.401716,1200
39.0997222,-94.5783333,90
38.7230556,-80.65,60
38.007059,-119.012259,5
43.3652778,-72.1738889,300
61.9919444,-146.7686111,180
40.9166667,-74.1722222,10
70.292489,-161.903334,900
39.7338889,-90.2288889,60
41.6638889,-83.5552778,180
36.1538889,-95.9925,120
36.1658333,-86.7844444,1800
36.0688889,-79.4008333,30
30.3958333,-88.8852778,900
37.2438889,-77.4105556,120
41.5241667,-76.4011111,300
53.55,-113.5,300
42.8863889,-78.8786111,240
48.5127778,-122.6113889,1200
42.1083333,-91.285,60
44.5647222,-123.2608333,120
42.5680556,-78.4791667,600
38.8922222,-89.4130556,30
56.031639,-121.905722,120
44.98,-93.2636111,10
42.3583333,-71.0602778,1200
43.3616667,-70.4772222,600
37.775,-122.4183333,600
14.058324,108.277199,600
44.233333,-76.483333,180
40.7141667,-74.0063889,180
36.3727778,-94.2086111,14400
41.524898,-119.05102,1500
27.9472222,-82.4586111,900
40.7141667,-74.0063889,300
-33.137551,81.826172,240
34.1477778,-118.1436111,180
37.9388889,-97.0194444,10800
33.2147222,-97.1327778,600
31.6261111,-97.5997222,1800
47.8555556,-121.9697222,900
35.002778,-82.652778,1800
39.7927778,-87.3708333,900
36.8527778,-75.9783333,1800
39.1652778,-86.5263889,1200
45.012466,-92.991883,120
43.2166667,-123.3405556,7200
36.9086111,-116.7583333,7200
35.1405556,-85.2327778,37800
41.2377778,-81.9316667,300
33.2147222,-97.1327778,600
40.4188889,-80.5897222,240
39.92077,32.85411,300
46.4736111,-93.8986111,2
40.7841667,-74.6972222,600
44.314844,-85.602364,15
33.0580556,-112.0469444,1200
40.9636111,-81.3313889,120
43.0986111,-77.4422222,600
28.0611111,-82.3025,900
38.161861,-121.611621,120
33.7091667,-117.9527778,360
40.5763889,-124.2627778,60
35.9983333,-76.9463889,300
31.0944444,-92.4002778,300
40.9852778,-86.8794444,900
33.7922222,-118.3141667,1200
39.2402778,-76.8397222,120
42.8863889,-78.8786111,10
47.0380556,-122.8994444,7200
40.4405556,-79.9961111,300
40.3161111,-74.5141667,240
37.5483333,-121.9875,30
34.1469444,-86.1305556,20
40.2977778,-77.8744444,600
40.7280556,-74.0780556,180
43.5688889,-86.0394444,2400
38.056468,-83.943256,2400
42.9572222,-83.8305556,240
52.466667,-1.916667,97836000
42.5611111,-71.5902778,20
40.256648,-79.818468,720
35.8966667,-77.5361111,180
44.4269444,-124.0675,600
34.2572222,-118.6002778,45
43.5341667,-70.9102778,180
27.9375,-82.2861111,900
43.4133333,-86.0794444,240
34.9852778,-80.5497222,300
41.7386111,-80.77,3600
35.423335,-120.618785,120
38.9716667,-95.235,300
42.225,-121.7805556,2700
41.389491,-82.019032,300
40.0638889,-80.7211111,10
26.7052778,-80.0366667,10
46.216667,-63.483333,900
43.2166667,-123.3405556,1800
43.1488889,-72.3611111,1800
36.0988889,-78.3013889,180
43.9147222,-113.6125,180
37.99,-84.1797222,300
39.7338889,-90.2288889,300
41.5619444,-73.6030556,300
38.6172222,-121.3272222,10
44.8830556,-68.6725,20
48.0511111,-119.9022222,300
33.7358333,-118.2913889,120
42.0969444,-79.2355556,1200
34.8297222,-82.6016667,900
33.78,-118.2616667,900
35.7563889,-83.9705556,300
34.7463889,-92.2894444,300
36.1325,-88.5186111,900
36.175,-115.1363889,5
34.7047222,-85.2819444,900
38.812963,-120.030183,90
32.5402778,-82.9038889,1200
37.2152778,-93.2980556,90
32.5005556,-94.7402778,20
33.4147222,-111.9086111,900
40.2986111,-83.0680556,7200
45.4297222,-108.5325,1800
36.3377778,-96.8036111,1200
40.7141667,-74.0063889,15
31.243787,-90.453153,1200
42.1486111,-72.6083333,300
34.4208333,-119.6972222,3
38.2430556,-93.3816667,600
36.175,-115.1363889,5
40.4436111,-76.4286111,300
41.6611111,-91.53,20
45.4208333,-122.6694444,5
45.4208333,-122.6694444,90
38.4783333,-82.6380556,300
40.4619444,-78.2,600
51.021111,-3.104722,60
41.5733333,-87.7844444,20
40.6836111,-73.5105556,60
30.2669444,-97.7427778,5400
43.1977778,-70.8741667,600
38.609741,-122.254045,15
29.7630556,-95.3630556,30
39.2275,-83.2705556,180
40.7141667,-74.0063889,300
37.3230556,-122.0311111,600
32.8338889,-109.7069444,30
30.1577778,-95.4891667,180
47.4736111,-94.88,600
32.9125,-96.6386111,40
42.4811111,-74.6108333,300
43.804133,-120.554201,20
35.2269444,-80.8433333,120
44.5191667,-88.0197222,1200
34.6422222,-82.4561111,180
41.6527778,-70.2833333,60
41.1416667,-87.875,60
43.4222222,-123.2972222,60
36.6913889,-79.8727778,300
33.0183333,-80.1758333,1200
28.0391667,-81.95,60
41.7355556,-111.8336111,120
45.5236111,-122.675,5
45.2113889,-122.9755556,5
47.0566667,-122.7,180
35.2333333,-106.6638889,120
37.2255556,-107.5975,1800
37.775,-122.4183333,420
42.0372222,-88.2811111,1200
32.9594444,-117.2644444,4
32.8472222,-117.2733333,7
42.9955556,-71.4552778,120
40.7419444,-95.0380556,60
53.383333,-2.6,8
39.987271,-90.763463,900
40.3513889,-90.3244444,900
44.7930556,-89.7030556,300
29.4238889,-98.4933333,30
41.8327778,-87.9288889,60
45.5236111,-122.675,25
41.3683333,-82.1077778,300
40.7141667,-74.0063889,5
35.2225,-97.4391667,120
36.175,-115.1363889,15
36.241416,-115.050807,180
25.7738889,-80.1938889,25
39.0911111,-94.4152778,15
51.312374,3.132768,10
47.3444444,-122.7619444,540
41.7991667,-85.4191667,600
43.866667,-79.266667,600
31.84694,120.872862,900
36.9613889,-120.0597222,120
37.9577778,-121.2897222,180
33.3061111,-111.8405556,20
37.5202778,-122.2747222,15
44.3,-120.8333333,3600
56.15,-3.75,60
39.0397222,-77.0555556,300
30.1658333,-81.7066667,10
38.8338889,-104.8208333,300
40.3461111,-94.8722222,30
-37.653829,145.517006,40
35.6144444,-88.8138889,120
42.9047222,-76.3944444,900
47.6063889,-122.3308333,1
39.0997222,-94.5783333,900
44.3147222,-84.7647222,300
44.1897222,-70.1408333,10
36.778261,-119.417932,300
42.8922222,-76.1055556,180
48.9466667,-122.4508333,30
42.6525,-73.7566667,2
-5.129547,-80.120569,6312000
36.7161111,-77.0683333,1
22.396428,114.109497,1800
37.8044444,-122.2697222,420
48.9202778,-122.3413889,5
48.1172222,-122.7591667,10
47.9130556,-122.0969444,3
47.2033333,-122.2391667,330
38.2544444,-104.6086111,15
47.6063889,-122.3308333,1
47.6063889,-122.3308333,3
47.6063889,-122.3308333,2
47.3811111,-122.2336111,10
47.8211111,-122.3138889,5
46.8883333,-122.6872222,240
42.6011111,-89.6383333,1200
40.616187,-79.72411,7200
41.9269444,-73.9977778,600
39.1730556,-77.2719444,180
39.337515,20.289964,60
35.0241667,-110.6966667,1800
47.9480556,-116.7069444,300
35.1472222,-107.8508333,10
48.0319444,-122.7569444,5
28.5380556,-81.3794444,4
40.7141667,-74.0063889,300
40.7141667,-74.0063889,900
37.6941667,-122.0852778,1200
47.8108333,-122.3761111,60
40.5219444,-111.9383333,120
40.7141667,-74.0063889,180
43.5008333,-70.4433333,120
47.6741667,-122.1202778,2
44.3,-78.333333,30
33.7669444,-118.1883333,600
42.6566667,-83.7530556,120
40.773662,-81.460856,1200
32.7152778,-117.1563889,240
47.6105556,-122.1994444,10
37.9236111,-104.9297222,2
36.4469444,-95.7080556,600
42.0666667,-72.8619444,5
52.983333,-122.483333,120
49.51397,-117.618387,2
39.6005556,-82.9461111,600
40.8022222,-124.1625,720
36.175,-115.1363889,2
35.0844444,-106.6505556,3600
37.5536111,-77.4605556,300
32.2216667,-110.9258333,1
27.860302,-80.447274,3
51.883333,-0.516667,300
43.25,-85.1330556,14400
52.133333,-106.666667,7
41.462072,-87.894245,9000
39.1269,-92.4399,2400
41.6027778,-87.7438889,3600
41.6027778,-87.7438889,3600
41.6302778,-87.8538889,2700
41.5733333,-87.7844444,1200
41.626389,-87.711667,900
41.6302778,-87.8538889,420
41.6302778,-87.8538889,6
41.6252778,-87.7175,1500
41.6027778,-87.7438889,600
41.6027778,-87.7438889,600
41.626389,-87.711667,900
41.5733333,-87.7844444,600
41.5733333,-87.7844444,600
41.5733333,-87.7844444,1200
41.5733333,-87.7844444,1800
41.5733333,-87.7844444,900
41.6027778,-87.7438889,1200
41.7205556,-87.7016667,480
41.6688889,-87.7386111,480
41.6611111,-87.7525,300
41.1338889,-81.4847222,7
41.8777778,-87.9027778,7
41.4225,-87.9858333,10
41.6027778,-87.7438889,7200
41.6027778,-87.7438889,1800
41.6027778,-87.7438889,60
41.6316667,-87.6813889,1200
38.5730556,-82.8302778,30
25.4683333,-80.4777778,300
35.0844444,-106.6505556,600
26.6155556,-80.0572222,180
33.4483333,-112.0733333,180
34.0522222,-118.2427778,1500
26.7052778,-80.0366667,60
41.05143,-86.603065,15
45.1888889,-93.5527778,1020
30.6647222,-97.9222222,900
37.3394444,-121.8938889,600
43.25,-79.833333,15
38.2972222,-122.2844444,1200
39.4733333,-82.7394444,300
35.4675,-97.5161111,2700
52.75,1.3,240
45.07,-85.2644444,1500
49.972636,-98.282777,30
41.5733333,-87.7844444,120
41.9025,-85.7994444,5
35.2333333,-106.6638889,3
40.182846,29.067084,3
32.8138889,-96.9486111,2
34.0094444,-118.1044444,300
33.223191,43.679291,15
40.7141667,-74.0063889,120
32.7938889,-79.8627778,240
41.6269444,-88.2038889,300
39.1886111,-91.9827778,3600
42.068889,-123.720833,120
43.07,-94.2327778,3600
48.7838889,-117.8105556,60
41.714918,-71.463612,28800
39.5786111,-76.6158333,480
36.175,-115.1363889,600
30.2669444,-97.7427778,4
47.5675,-121.8875,2
45.6666667,-122.5597222,1
46.7313889,-117.1786111,1
47.6063889,-122.3308333,12
42.7675,-78.7441667,37800
33.635026,-85.795908,600
47.6063889,-122.3308333,20
38.7522222,-121.2869444,600
37.963699,-104.838261,10
35.6869444,-105.9372222,20
33.800592,-112.204047,2
35.0241667,-110.6966667,15
37.3791667,-105.0997222,60
35.5830556,-105.7694444,2
32.77,-108.2797222,180
35.4194444,-109.4958333,120
40.015,-105.27,30
38.4,-105.2166667,240
35.517491,-86.580447,45
39.7391667,-104.9841667,30
39.604851,-106.356612,180
39.2247222,-106.0013889,30
39.0216667,-105.7952778,60
39.9161111,-106.725,75
38.35,-104.7222222,10
35.6869444,-105.9372222,45
36.4072222,-105.5725,150
38.8966667,-104.9716667,15
40.015,-105.27,6
38.7466667,-105.1777778,15
32.486673,-91.963994,60
36.9033333,-104.4386111,30
36.9033333,-104.4386111,60
39.4369444,-104.9591667,30
39.6375,-106.0613889,10
39.0916667,-104.8722222,10
38.35,-104.7222222,300
36.7280556,-108.2180556,14
33.9177778,-106.8652778,20
33.1191667,-117.0855556,120
34.0522222,-118.2427778,900
39.7588889,-84.1916667,5
44.383333,-79.7,60
-34.928661,138.598633,300
34.683983,-83.67435,10800
35.2269444,-80.8433333,1200
39.1752778,-89.6541667,2
40.0680556,-82.5197222,120
34.9236111,-77.7741667,5
21.3155556,-158.0072222,600
52.766667,-108.283333,60
35.2080556,-82.2386111,10
31.7380556,-99.9469444,300
40.7616667,-73.3297222,240
28.8002778,-81.2733333,120
37.7022222,-121.9347222,2
35.0886111,-92.4419444,600
3.139003,101.686855,300
41.4747222,-84.5525,120
40.6627778,-73.5519444,5
38.4191667,-82.4452778,600
37.4136111,-79.1425,30
36.6080556,-94.4475,900
32.7833333,-96.8,300
33.5861111,-86.2861111,300
41.7,-71.4166667,600
33.5772222,-96.1780556,300
50.183333,-98.316667,5
33.9175,-116.7863889,1200
42.8613889,-105.8716667,1200
48.0519444,-122.1758333,1800
29.3836111,-94.9025,2
35.7211111,-77.9158333,600
43.4666667,-112.0333333,15
47.5963889,-120.6602778,120
47.4830556,-122.2158333,600
33.8225,-85.8927778,120
40.183333,44.516667,60
47.0344444,-122.8219444,4
41.3494444,-85.1355556,4
32.7355556,-97.1077778,600
37.3688889,-122.0352778,20
36.5483333,-82.5619444,3
39.340925,-80.018966,20
33.1730556,-84.915,10
41.8786111,-71.3830556,600
42.3086111,-83.4822222,3600
35.2525,-95.2372222,2
35.1494444,-90.0488889,300
39.340925,-80.018966,120
41.8238889,-71.4133333,300
39.0305556,-82.8244444,10800
34.5097222,-88.2091667,120
29.055,-82.0625,600
41.1411111,-73.2641667,20
26.4611111,-80.0730556,180
28.4319444,-82.6644444,8
32.753472,-79.952845,120
43.0972222,-89.5041667,180
38.2008333,-77.5894444,1800
43.10729,-75.129221,300
32.3863889,-96.8480556,1
32.7833333,-96.8,15
38.9886111,-78.3588889,300
35.0525,-78.8786111,300
41.2380556,-81.8419444,600
48.1988889,-122.1238889,300
52.133333,-106.666667,60
33.8752778,-117.5655556,30
34.8241667,-85.2427778,300
34.974532,-92.016534,3600
40.579532,-74.150201,600
48.4,-89.233333,5
29.807988,-84.859352,7200
26.1322222,-97.6308333,10
31.7091667,-98.9908333,1500
32.3413889,-90.3216667,300
36.3511111,-119.4191667,60
48.945484,2.037356,180
38.4858333,-91.8502778,5
34.2255556,-77.945,300
39.1619444,-84.4569444,900
42.1102778,-88.0341667,90
41.7830556,-123.0591667,300
33.1580556,-117.3497222,10
39.0997222,-94.5783333,45
39.0997222,-94.5783333,60
46.8569444,-122.8516667,180
31.2436111,-90.4530556,10
34.818831,-82.412391,14400
33.6675,-84.0177778,3600
26.527578,-82.194817,60
32.237147,-80.860387,20
25.4683333,-80.4777778,35
29.5819444,-95.7605556,300
38.8338889,-104.8208333,9
33.6305556,-112.3325,9
27.3361111,-82.5308333,10
33.916403,-118.352575,420
37.280971,-79.896982,600
42.983333,-79.25,2700
34.1477778,-119.1941667,1800
41.8008333,-87.9369444,180
44.0522222,-123.0855556,180
34.0922222,-117.4341667,900
42.7261111,-87.7827778,900
42.7622222,-84.9925,300
